Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,Step21,Step22,Step23,Step24,Step25,Step26,Step27,Step28,Step29,Step30,Step31,Step32,Step33,Step34,Step35,Step36,Step37,Step38,Step39,Step40,Step41,Step42,Step43,Step44,Step45,Step46,Step47,Step48,Step49,Step50
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
22,28,23,29,27,21,30,36,26,32,31,12,18,17,19,24,4,13,9,14,2,8,1,7,3,10,5,6,11,0,20,16,15,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
29,23,19,24,17,31,32,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37,22,28,27
22,28,17,19,23,29,24,27,32,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,25,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37,40,31,36
22,28,17,19,23,29,24,27,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,18
46,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,36,18,40,31,47,22,32,20,27,25,23
30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,32,20,40,31,36,18,34,23,33,28,49,37,43,46,47,22,27,25,11
46,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25,23
42,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,18,47,22,32,20,27,12,40,31,36
29,23,19,24,17,28,22,27,26,32,31,46,16,21,12,18,4,13,9,14,2,8,1,10,5,11,0,3,6,7,20,15,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37,30
23,22,34,27,32,31,17,19,28,24,29,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,49,44,46,38,41,37,33
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,32,20,47,22,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,32,20,47,22,27
28,17,19,23,29,24,27,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37,22
18,12,40,31,36,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,20,47,22,32,27,25,11,30,26,35
16,15,19,45,48,47,43,42,39,34,49,44,46,38,41,23,37,21,33,22,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,32,20,27,25,11,30,26,35
45,48,47,43,42,29,39,34,49,44,46,38,41,23,37,21,33,22,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,32,28,20,27,25,11,30,26,35,16,15
23,19,24,17,33,28,37,22,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,27,29
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,18,47,22,32,20,27,12,40,31,36
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
45,48,47,43,42,29,39,34,49,44,46,38,41,23,37,21,33,22,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,32,28,20,27,25,11,30,26,35,16,15
11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,47,22,32,20,27,25
22,28,17,19,23,29,24,27,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37
11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,47,22,32,20,27,25
46,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,36,18,40,31,47,22,32,20,27,25,23
42,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,33,28,49,37,43,31,36,18,47,22,32,20,27,25
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,18,47,22,32,20,27,12,40,31,36
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
23,19,24,17,33,28,37,22,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,27,29
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
46,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25,23
42,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
45,48,47,43,42,29,39,34,49,44,46,38,41,23,37,21,33,22,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,32,28,20,27,25,11,40,31,36,18,30,26,35,16,15
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,32,20,47,22,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,32,20,47,22,27
18,12,40,31,36,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,20,47,22,32,27,25,11,30,26,35
28,17,19,23,29,24,27,32,31,46,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,44,34,49,38,41,33,37,22
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,18,47,22,32,20,27,12,40,31,36
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,18
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,48,23,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,42,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
22,28,17,19,23,29,24,27,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
22,28,17,19,23,29,24,27,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
22,28,17,19,23,29,24,27,32,31,16,21,12,18,4,13,9,14,2,8,1,7,3,5,6,10,11,0,20,15,30,26,36,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
16,15,19,45,48,47,43,42,39,34,49,44,46,38,41,23,37,21,33,22,28,24,29,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,32,20,27,25,11,30,26,35
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,40,31,36,18,34,23,33,28,49,37,43,46,47,22,32,20,27
22,28,23,29,27,21,30,36,26,32,31,12,18,17,19,24,4,13,9,14,2,8,1,7,3,10,5,6,11,0,20,16,15,25,40,35,45,48,47,43,42,39,34,38,49,44,46,41,33,37
25,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,23,33,28,49,37,43,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,17,12,40,34,23,33,28,49,37,43,31,36,18,47,22,32,20,27
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
18,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,47,22,32,12,40,31,36,20,27,25
45,48,47,43,42,29,39,34,49,44,46,38,41,23,37,21,33,22,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,17,12,32,28,20,27,25,11,40,31,36,18,30,26,35,16,15
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
23,11,30,26,35,29,45,38,41,39,42,48,46,16,21,15,44,19,24,9,14,4,13,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27,25
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
25,11,30,26,35,29,45,38,41,39,42,48,23,46,16,21,15,44,19,24,4,13,9,14,2,8,1,3,6,7,5,10,0,34,17,33,28,49,37,43,12,40,31,36,18,47,22,32,20,27
