Cluster,Trees,Distance,Turning,Elevation
1,77,2467.8343421761315,92.5564685865743,0.5408885599820241
2,64,1993.9324248149417,67.67998757311261,0.41681478430851904
3,71,2229.9502042796216,101.1626863468582,0.41490317127679965
4,69,2256.288886112546,78.07285197456477,0.39521533269483555
5,80,2649.590795588404,112.88210399022573,0.7096539660636942
6,65,2059.520328330331,69.32344563052293,0.37674792561642256
7,77,2605.062179460499,87.0668278449347,0.3919978652169611
8,54,1456.908934000772,68.82467647233919,0.60386838844388
9,61,1890.1329893033085,82.7206321162827,1.1775214464696777
10,62,1591.7803386369142,80.38804488725876,0.7991057546967113
11,70,2311.2032080906333,80.82002057634848,0.39612982001235864
12,63,2006.710703794689,79.42027755765318,0.4538155358657523
13,72,2259.7071075475255,103.67087734255115,0.38336685245265834
14,77,2545.398523149038,97.48953230929529,0.4700765556904294
15,67,2392.010412751055,98.76035306770616,0.5048539427363874
