Cluster,Distance,Turning,Elevation
1,1323.9089347981128,62.03754588958533,0.5659945745528656
2,1022.2479257282887,44.18003692532893,0.5475151677712624
3,949.1086653849615,51.3575685993355,0.46172635821816144
4,1266.9806862079017,54.69191347409805,0.7914151075219937
5,945.5404064153935,54.519250630727825,0.6337733881718997
6,1095.702231542986,55.64300735034778,0.5730419093771886
7,1036.4924812371703,47.370138022111895,0.48407612605468486
8,940.0765663971364,37.75361944402403,0.5860496930692776
9,893.5471200727994,49.29405379501073,0.5365159367155101
10,1032.6521297550325,59.08148903511366,0.5454286824766523
11,1178.0751602846028,64.96097329468336,0.8675881151951792
12,1001.1890063002908,47.30318324329324,0.4793556611482028
13,1198.4761790965072,58.82380044501956,0.6116380297850501
14,898.0692163218466,45.18235156576497,0.3497053288425249
15,1041.3964921055858,57.597659892018456,0.4521071556627234
16,1000.714034740439,46.29915460061763,0.6616271651162311
17,1077.3644350326088,52.460024974329926,0.6215314577916136
18,1290.6903167965813,77.4862015851968,0.5917509446645539
19,1005.8181103315428,43.0477362133948,0.48246767666923773
20,1377.5965410557026,67.13141206551354,0.49950006197560093
