Cluster,Distance,Turning,Elevation
1,1181.0408286677641,70.2185941362032,0.3375247429338568
2,1196.8892607430569,55.82755725696536,0.2393164150882594
3,1291.7202219789508,80.6850705311879,0.34624296077209493
4,1359.0858661940179,71.43170488367358,0.3932388752050464
5,1156.6541091002655,56.719832668942786,0.34985199658611954
6,1318.8042305460403,84.92933390473151,0.2912659092575929
7,1115.665755859885,62.11448443262108,0.2847989183280131
8,1026.8879628859252,49.44525807751651,0.3345567489433581
9,1191.9936005492063,65.53629041644955,0.8036661206341851
10,983.04741590385,58.56791815825169,0.6363525622755368
11,1319.6370081591676,69.36838274551063,0.24051647634746232
12,1283.497434677824,79.57592578842649,0.32502621655337727
13,1428.2737108358406,76.39312533137158,0.3732729254903866
14,1199.9154108104383,77.49626281133753,0.27964574348045446
15,1436.3992961406748,69.80406539480326,0.34737491270063536
